Category,Name,Abstract
1,Frank Gifford,______ starred for the New York Giants during his Hall of Fame NFL career before becoming a successful broadcaster.
1,Russell Wilson,American football quarterback ______ led the Seattle Seahawks to victory in Super Bowl XLVIII. He is married to R&B; singer Ciara.
1,Ernie Davis,______ became the first African-American to win the Heisman Trophy before his life was tragically cut short by leukemia at the age of 23.
2,Zlatan Ibrahimovic,Fiery Swedish soccer player ______ became one of Europe's  top strikers while starring for eight consecutive title-winning clubs.
2,Pelé,"A member of three Brazilian World Cup-champion teams, ______ is considered by many to be the greatest soccer player of all time."
2,Cristiano Ronaldo,______ is a professional soccer player who has set records while playing for both Manchester United and Real Madrid.
2,Hope Solo,______ proved one of the world's top goalkeepers while helping the U.S. women's soccer team win two Olympic gold medals and the 2015 FIFA Women's World Cup.
2,David Beckham,"Soccer great ______ has played for Manchester United, England, Real Madrid and the L.A. Galaxy. He is married to Victoria Beckham, also known as Posh from the Spice Girls."
2,Lionel Messi,Argentina native ______ has established records for goals scored and won individual awards en route to worldwide recognition as one of the best players in soccer.
2,Mia Hamm,"______ is a former American soccer player who competed with the U.S. women's national soccer team for 17 years. She won the Women's World Cup in 1991 and 1999, and took Olympic gold medals in 1996  and 2004."
2,Alex Morgan,Soccer player ______ has starred for the U.S. national teams that won Olympic gold and the FIFA Women's World Cup.
2,Carli Lloyd,Soccer player ______ scored the winning goals for the U.S. in the 2008 and 2012 Olympics and was named the top player of the 2015 FIFA Women's World Cup.
2,Neymar,Brazilian soccer prodigy ______ lived up to big expectations by winning four consecutive Player of the Year awards by age 21.
2,George Best,"Irish soccer player ______ starred for Manchester United and was named European Footballer of the Year in 1968, before a hard-partying lifestyle took its toll on his career and health."
2,Landon Donovan,Professional soccer player ______ led the U.S. national team to the quarterfinals in the 2002 World Cup.
2,Mesut Özil,German midfielder ______ emerged as one of soccer's rising stars during the 2010 FIFA World Cup and his three years with Spanish club Real Madrid.
2,Abby Wambach,Soccer great ______ became the all-time leader in international goals while leading the U.S. women to Olympic gold and the 2015 FIFA World Cup title.
2,Marta,"Brazilian women's soccer superstar ______ was named FIFA World Player of the Year a record five consecutive times, beginning in 2006."
2,Alfredo Di Stéfano,Argentine soccer great ______ won two European Player of the Year awards and led Real Madrid to a record five straight European Cup championships.
2,Radamel Falcao,Colombia-born soccer striker ______ starred in Argentina before becoming a top goal scorer for Portugal's F.C. Porto and Spain's Atlético Madrid.
2,Zinedine Zidane,"One of soccer's all-time greats, ______ led France to victory at the 1998 World Cup, but was thrown out of the '06 Cup final for striking an opponent."
2,Diego Forlán,Uruguayan soccer star ______ was named the Golden Ball winner as the top player of the 2010 FIFA World Cup.
2,Robin van Persie,Soccer forward ______ helped the Netherlands reach the 2010  FIFA World Cup final and became his country's leading international  scorer in 2013.
2,Samuel Eto'o,Cameroonian soccer striker ______ won an unprecedented four African Player of the Year Awards and back-to-back trebles with his European clubs.
2,Gianluigi Buffon,Goalkeeper ______ starred for Italian clubs Parma F.C. and  Juventus F.C. before leading Italy to the 2006 FIFA World Cup  Championship.
2,Yaya Touré,Ivory Coast–born soccer star ______ helped Manchester City win its first Premier League title in 44 years in 2012.
2,Wesley Sneijder,"Soccer midfielder ______ starred for AFC Ajax, Real Madrid and Internazionale, and led the Netherlands to a runner-up finish at the 2010 FIFA World Cup."
3,Hank Aaron,Baseball legend ______ broke Babe Ruth's hallowed mark of 714 home runs and finished his career with numerous big league records.
3,Yogi Berra,"______ is remembered for his Hall of Fame playing career with the New York Yankees, as well as his expressions that became known as 'Yogi-isms.'"
3,Jackie Robinson,"______ broke the color barrier when he became the first black athlete to play Major League Baseball in the 20th century. He joined the Brooklyn Dodgers in 1947 and was named Rookie of the Year that year, National League MVP in 1949 and a World Series champ in 1955."
3,Sandy Koufax,Jewish-American baseball pitcher ______ starred for the Brooklyn and Los Angeles Dodgers before elbow arthritis forced an early retirement.
3,Derek Jeter,______ is an athlete best known for his stellar Major League Baseball career as shortstop for the New York Yankees.
3,Babe Ruth,Baseball icon ______ set numerous records as a pitcher and slugging outfielder. He was among the first five players inducted into the sport's Hall of Fame.
3,Lou Gehrig,"Hall of Fame first baseman ______ played for the New York Yankees in the 1920s and 1930s, setting the mark for consecutive games played. He died of ALS in 1941."
3,Roberto Clemente,"Baseball Hall of Famer ______ became the first Latin American player to collect 3,000 career hits before his death in a plane crash."
3,Alex Rodriguez,"American baseball superstar ______ won three MVP awards and hit nearly 700 home runs over his 22-year career, but saw his reputation tainted through his link to performance-enhancing drugs."
3,Mickey Mantle,"______ played for the New York Yankees from 1951 to 1968, and was inducted into the National Baseball Hall of Fame in 1974."
3,Joe DiMaggio,Baseball legend ______ set a record with his 56-game hitting streak in 1941 and won nine World Series titles during his 13 years with the New York Yankees.
3,Frank Robinson,"Baseball player ______ was the first African American manager of a major league team. In 1982, he was inducted into the Baseball Hall of Fame."
3,Nolan Ryan,"Hall of Fame pitcher ______ established records with his 5,714 strikeouts and seven no-hitters during his 27-year Major League Baseball career."
3,Shoeless Joe Jackson,Joe Jackson was a top major league baseball player during the early 20th century who was ousted from the sport for his alleged role in game fixing.
3,Ty Cobb,Early 20th-century baseball great ______ set dozens of records and earned the highest percentage of votes in the first Hall of Fame election.
3,Jim Thorpe,Native American ______ won the pentathlon and decathlon at the 1912 Olympics but was stripped of his gold medals for violating amateur eligibility rules.
3,Carl Yastrzemski,Major League Baseball star ______ spent 23 years with the Boston Red Sox and was elected to the Hall of Fame in 1989.
3,Willie Mays,"One of the greatest baseball players in history, ______ thrilled fans over a 22-year big league career with his powerful bat and astonishing defensive skills."
3,Darryl Strawberry,Power-hitting outfielder ______ was one of baseball's biggest stars in the 1980s before his career was derailed by substance-abuse problems.
3,Joe Morgan,"Baseball Hall of Famer ______ won the National League MVP Award in 1975 and 1976, when he led the Cincinnati Reds to back-to-back World Series titles."
3,Fernando Valenzuela,Baseball player ______ became a cultural icon in Mexico and in the U.S. Latino community while starring for the Los Angeles Dodgers in the 1980s.
3,Catfish Hunter,Baseball Hall of Famer ______ was a star pitcher for the championship clubs of the Oakland A's and the New York Yankees in the 1970s.
3,Cal Ripken Jr.,"______ established a record of 2,632 consecutive games played during a 21-year Hall of Fame baseball career."
3,Rickey Henderson,American baseball player ______ set the single-season and career records for stolen bases over his 25-year Hall-of-Fame career.
4,James Harden,"NBA guard ______, known as 'The Beard,' has emerged as one of pro basketball's top players since his trade to the Houston Rockets in 2012."
4,Kobe Bryant,Pro basketball player ______ won five NBA titles with the Los Angeles Lakers while establishing himself as one of the game's all-time greats.
4,Ray Allen,"One of the greatest shooters in pro basketball history, ______ set the record for three-pointers made and won two championships over his 18-year NBA career."
4,LeBron James,"______ became an immediate star after skipping college to join the NBA's Cleveland Cavaliers. He led the Miami Heat to NBA titles in 2012 and 2013, and won a third championship with Cleveland in 2016."
4,Magic Johnson,"Earvin ""Magic"" Johnson dominated the court as one of America's best basketball players for more than a decade, earning three NBA MVP a. In 1991, he announced that he had tested positive for HIV, the virus that causes AIDS."
4,Kyrie Irving,Professional basketball player ______ helped the Cleveland Cavaliers win their first NBA championship before moving on to star for the Boston Celtics.
4,Lamar Odom,"______ is an American basketball player who is best known for playing seven seasons with the Los Angeles Lakers, and for his marriage to reality star Khloé Kardashian."
4,Shaquille O'Neal,"Standing 7 feet tall and weighing 315 pounds, ______ was one of the most dominant players in the NBA. After his 2011 retirement, he became an on-screen league analyst."
4,Kareem Abdul-Jabbar,"Hall of Fame basketball center ______ is the NBA's all-time leading scorer. He won six NBA titles, five with the Los Angeles Lakers, over 20 years."
4,Larry Bird,Basketball icon ______ won three MVP awards and three NBA championships during his 13-year career with the Boston Celtics.
4,Michael Jordan,______ is a former American basketball player who led the Chicago Bulls to six NBA championships and won the Most Valuable Player Award five times.
4,Wilt Chamberlain,"______ was the first NBA player to score more than 30,000 cumulative points over his career, and the first and only player to score 100 points in a single game."
4,Oscar Robertson,"Hall of Fame basketball guard ______ established numerous records over his 14-year NBA career with the Cincinnati Royals and Milwaukee Bucks, retiring as the league’s all-time leader in assists."
4,Stephen Curry,"Renowned for his shooting accuracy, pro basketball player ______ of the Golden State Warriors was the first person to be named Most Valuable Player by unanimous vote in NBA history."
4,Jim Thorpe,Native American ______ won the pentathlon and decathlon at the 1912 Olympics but was stripped of his gold medals for violating amateur eligibility rules.
4,Chris Paul,"______ is an American professional basketball player, best known as a marquee point guard for the Los Angeles Clippers franchise in the NBA."
4,Moses Malone,"A former ABA star and three-time NBA Most Valuable Player, Hall of Fame center ______ was the first basketball player to skip college and go pro."
4,Metta World Peace,"______, formerly Ron Artest, is a professional basketball player known for his fierce defensive play and 2011 name change."
4,Russell Westbrook,______ of the NBA's Oklahoma City Thunder has drawn attention for his explosive scoring performances and creative outfits.
4,Harry Lew,"Harry ""Bucky"" Lew is best known for becoming the first African-American professional basketball player when he joined the New England League in 1902."
4,Walt Frazier,______ is a basketball player who was one of the finest professional guards in the late 1960s and early '70s.
4,Pat Riley,"Basketball coach Patrick James Riley participated in both basketball and football, playing professionally with the San Diego Rockets and Los Angeles Lakers."
4,Bill Bradley,______ is known for turning his basketball fame into a political career in the U.S. Senate and as a candidate for the presidency in 1999.
4,Dwyane Wade,"Basketball star ______ plays as a guard for the Miami Heat, with which he has won three NBA Championships, in 2006, 2012 and 2013."
5,Wayne Gretzky,"Arguably hockey's greatest player, ______ played for the Edmonton Oilers, Los Angeles Kings, St. Louis Blues and the New York Rangers during his long career."
5,Jim Thorpe,Native American ______ won the pentathlon and decathlon at the 1912 Olympics but was stripped of his gold medals for violating amateur eligibility rules.
5,Caitlin Cahow,Former U.S. women's hockey team star ______ entered the public eye as a spokesperson for gay athletes leading into the 2014 Winter Olympics in Russia.
5,Sidney Crosby,"______ is a Canadian professional ice hockey player for the Pittsburgh Penguins. In 2007, he became the youngest captain of a National Hockey League team."
5,Terry Sawchuk,Canadian hockey goalie ______ won four Stanley Cup championships in his NHL career before his sudden death at age 40.
5,Bobby Hull,"Considered one of hockey's greatest players, Canadian ______ won an NHL Stanley Cup with the Chicago Black Hawks before joining the Winnipeg Jets in the rival WHA league in 1972."
5,Martin Brodeur,Canadian hockey goaltender ______ won three Stanley Cup  championships and set NHL records for career wins and shutouts with the  New Jersey Devils.
5,Alex Ovechkin,"One of hockey's most explosive goal scorers, forward ______ has won the NHL's Hart Trophy as the league's MVP several times."
5,Maurice Richard,"Canadian ice hockey star ______ was nicknamed the ""Rocket"" for his dazzling speed and was the first NHL player to score 50 goals in a season."
6,Joe Louis,"African-American boxer ______, who reigned as world heavyweight champion from 1937 until 1949, is regarded as one of his sport's all-time greats."
6,Conor McGregor,Irishman ______ became the biggest star in the sport of mixed martial arts while claiming the Ultimate Fighting Championship's featherweight and lightweight titles.
6,Floyd Mayweather,"One of the best pound-for-pound fighters in history, American boxer ______ has won championships across five weight divisions."
6,George Foreman,"______ is a retired American boxer who twice won boxing's heavyweight championship. After retiring, he became a popular pitchman, most famously known for his ______ Grill."
6,Muhammad Ali,"Arguably boxing's most celebrated athlete, heavyweight champion ______ was also known for his public stance against the Vietnam War and his longtime battle with Parkinson's disease."
6,Mickey Cohen,"______ became the West Coast racket boss in 1947, after his mentor and predecessor, Bugsy Siegel, was assassinated."
6,Mike Tyson,______ is a former heavyweight boxing champion who's served jail time and appeared in several films.
6,Sugar Ray Leonard,______ was a champion Olympic and professional welterweight boxer. He retired from the sport in 1997 and was inducted into the Boxing Hall of Fame.
6,Roberto Durán,"Panamanian boxer ______ won world championships in four weight divisions, but is best remembered for his ""no más"" loss to Sugar Ray Leonard in 1980."
6,Jake LaMotta,______ was a former middleweight boxing champion whose life and career is the subject of Martin Scorsese's acclaimed film 'Raging Bull.'
6,Jim Thorpe,Native American ______ won the pentathlon and decathlon at the 1912 Olympics but was stripped of his gold medals for violating amateur eligibility rules.
6,"James ""The Heat"" Kinchen",African-American boxer James 'The Heat' Kinchen lost a controversial championship fight to Thomas 'Hitman' Hearns in November 1988.
6,Julio César Chávez,______ is a retired Mexican boxer who won titles across three weight divisions and went undefeated in his first 90 professional fights.
6,Manny Pacquiao,"______ has won world boxing titles in eight different weight divisions, and is considered one of the world's best boxers."
6,Sugar Ray Robinson,"Considered one of the greatest boxers of all time, ______ held the world welterweight title from 1946 to 1951, and by 1958, he had become the first boxer to win a divisional world championship five times."
6,Oscar De La Hoya,"______ is a retired American boxer who is best known for his winning bouts in six different weight classes, and for his popular televised fights."
6,Evander Holyfield,"Boxer ______ fought in the Olympics and reigned as the world heavyweight champion from 1990 to 1992, and again from 1993 to 1994. In an infamous bout in 1996, Holyfield's ear was bitten by Mike Tyson."
6,Marvin Hagler,"______ was one of the greatest boxers of the 1970s and '80s, holding the middleweight title for seven years."
6,Rubin Carter,"At the height of his career, boxer ______ was twice wrongly convicted of a triple murder and was imprisoned for nearly two decades. He was released in 1985 after a Federal judge overturned his convictions and Carter went on to become an activist for the wrongly convicted."
6,"José ""Pipino"" Cuevas",Mexican boxer ______ became the youngest welterweight champion in history with his victory over Ángel Espada at age 18.
6,"Mark ""Too Sharp"" Johnson",______ is the first African-American boxer to win championships in the flyweight and super-flyweight divisions.
6,Michael Spinks,"In 1985, Hall of Fame boxer ______ became the first light-heavyweight champion to also win the heavyweight title."
6,"Thomas ""Hitman"" Hearns","African-American professional boxer and promoter ______ won eight world titles in six weight classes, and is a member of the International Boxing Hall of Fame."
6,Ken Norton,"Hall of Fame heavyweight champion, ______, fought three legendary fights against Muhammad Ali, breaking his jaw and winning their first bout."
7,Tiger Woods,"______ is a professional golfer who set an amazing career in motion in 1997, when he became the youngest man and the first African American to win the U.S. Masters."
7,Althea Gibson,"______ was the first African-American tennis player to compete at the U.S. National Championships in 1950, and the first black player to compete at Wimbledon in 1951. She also broke racial barriers in professional golf."
7,Chi Chi Rodriguez,Former professional golfer ______ was known for his flamboyant style and his success while competing on the Senior PGA Tour.
7,Jordan Spieth,"In 2015, American professional golfer ______ delivered a record-setting performance to become the second-youngest champion in Masters history. In 2017, 23-year-old Spieth became the youngest American to win the British Open."
7,Darren Clarke,Irish golfer ______ overcame personal tragedy to win the 2011 Open Championship.
7,Lee Westwood,British golfer ______ starred in Ryder Cup play for Europe and held the top spot in the world rankings in 2010 and 2011.
7,Ricky Barnes,"A son of former NFL player Bruce Barnes, professional golfer ______ is best known for his record-setting performance at the 2009 U.S. Open."
7,Lucas Glover,Professional golfer ______ earned his first major PGA championship with his performance at the 2009 U.S. Open.
7,Padraig Harrington,Irish golfer ______ won two British Open championships and the 2008 PGA Championship.
7,Guan Tianlang,Chinese golfer ______ became the youngest player in Masters history when he teed off at the 2013 tournament at age 14 years and five months.
7,Michelle Wie,"Known for competing against men as a teenager, pro golfer ______ won her first major tournament at the 2014 U.S. Women's Open."
7,Adam Scott,"One of the world's premier golfers, ______ became the first Australian to win the Masters Tournament with his 2013 victory."
7,Charles Sifford,______ was an African-American championship golfer who was instrumental in desegregating the PGA.
7,Phil Mickelson,"American athlete ______ began golfing as soon as he could walk, and is now one of the foremost successful golfers in the world."
7,Ian Poulter,English golfer ______ is a successful member of both the PGA and European tours.
7,Rory McIlroy,"______ is a golfer from Northern Ireland best known for winning the 2011 U.S Open and the 2012 PGA Championship, becoming the youngest player to win a PGA Tour playoff."
7,Babe Didrikson Zaharias,"______ (1911–1956) was named ""Woman Athlete of the Half Century"" in 1950 for her skills in basketball, track & field and golf."
7,Bubba Watson,Professional golfer ______ is a leading player on the PGA Tour and winner of the 2012 and 2014 Masters Tournament.
7,Webb Simpson,"At the age of 26, U.S. golfer ______ won the 2012 U.S. Open—his first major tournament victory—with a final score of 1-over par."
7,Chip Taylor,"Singer-songwriter ______ combined country with R&B; to write songs, like Wild Thing, that remain a staple in the American music diet."
7,Payne Stewart,American professional golfer ______ had eleven tour victories and three major titles under his belt when he died at age 42 in a plane crash.
7,Tom Watson,______ is an American golfer and six-time PGA Player of the Year. He was one of the sport's dominant figures in the 1970s and '80s.
7,Lee Trevino,"Popular professional golfer ______ was the first player to win the U.S., British and Canadian Open championships in a single year."
7,Sam Snead,______ was an American pro golfer who won a record 82 PGA tournaments.
8,Ronda Rousey,American ______ helped bring female mixed martial arts to a mainstream audience en route to becoming the first UFC women's champion.
8,Conor McGregor,Irishman ______ became the biggest star in the sport of mixed martial arts while claiming the Ultimate Fighting Championship's featherweight and lightweight titles.
8,Chuck Norris,"______ has starred in such action films as Return of the Dragon and Missing in Action. He also starred on the hit TV series Walker, Texas Ranger."
8,Bruce Lee,"______ was a revered martial artist, actor and filmmaker known for movies like 'Fists of Fury' and 'Enter the Dragon,' and the technique Jeet Kune Do."
8,Jackie Chan,Actor/director/producer ______'s unique blend of impressive martial arts and screwball physical comedy has helped make him an international film star.
8,Steven Seagal,Actor ______ makes popular action movies such as the 1998 hit Under Siege. He studied martial arts in Asia and opened an academy in the U.S.
8,Yip Man,"______, or Ip Man, is a martial arts master best known for teaching the Wing Chun form. Kung Fu master and icon Bruce Lee was one of his students."
8,Jean-Claude Van Damme,Belgium-born action-film star ______ has showcased his patented splits and acrobatic kicks in such movies as Bloodsport.
8,Jet Li,"______ is a champion martial artist and Chinese film actor. He starred in the Once Upon a Time in China film series and in the critically-praised, international hit Hero."
8,Cynthia Rothrock,______ was a World Karate Champion from 1981-1985 and is the self-proclaimed “Queen of Martial Arts films.”
9,Billie Jean King,American tennis great ______ broke down barriers by pushing for equal prize money for women and becoming one of the first well-known openly gay athletes.
9,Roger Federer,"One of the greatest tennis players in history, ______ has won a record 20 Grand Slam singles titles."
9,Serena Williams,American professional tennis player ______ has won 23 Grand Slam singles titles and several Olympic gold medals.
9,Venus Williams,"______ rose from a tough childhood in Compton, Los Angeles, to become a champion women's tennis player and four-time Olympic gold medalist."
9,Althea Gibson,"______ was the first African-American tennis player to compete at the U.S. National Championships in 1950, and the first black player to compete at Wimbledon in 1951. She also broke racial barriers in professional golf."
9,Arthur Ashe,"______ is the first African American to win the men's singles at Wimbledon and the U.S. Open, and the first African-American man to be ranked No. 1 in the world."
9,Anna Kournikova,______ is a former professional tennis player from Russia who achieved fame with her early career success and good looks.
9,Martina Navratilova,Czech tennis star ______ was one of the world's top tennis players in the 1970s and '80s.
9,Juan Martin del Potro,Argentine tennis player ______ upset Roger Federer to win the 2009 U.S. Open singles title.
9,Andy Murray,Scottish tennis star ______ triumphed at Wimbledon in 2013 to become the first British male in 77 years to win the tournament.
9,Maria Sharapova,Tennis champion ______ became the first Russian woman to win Wimbledon and hold the world's No. 1 ranking.
9,Novak Djokovic,Serbian professional tennis player ______ won his first of multiple Grand Slam championships in 2008 and took over the world's No. 1 ranking in 2011.
9,Stan Wawrinka,Switzerland's ______ is an elite athlete who has won Olympic gold and multiple Grand Slam singles tennis titles.
9,Rafael Nadal,"Spanish tennis great ______ has won 16 Grand Slam titles, a record 10 French Open singles titles and is one of only two men to win all four majors and Olympic gold."
9,Pete Sampras,"One of the greatest tennis players of all time, ______ established records with his 14 Grand Slam championships and seven Wimbledon titles."
9,Lleyton Hewitt,Australian tennis player ______ won two Grand Slam singles titles and became the youngest male to hold the world's No. 1 ranking.
9,Flavia Pennetta,Italian tennis player ______ became the oldest first-time Grand Slam champion with her surprise win at the 2015 U.S. Open.
9,Bobby Riggs,______ was an American tennis champion best known for facing women's star Billie Jean King in the 1973 'Battle of the Sexes.'
9,Björn Borg,Swedish tennis superstar ______ won a record five consecutive Wimbledon championships before abruptly retiring at age 26.
9,Jo-Wilfried Tsonga,French tennis professional ______ defeated champions Rafael Nadal and Roger Federer en route to emerging as a Top 10 player.
9,Chris Evert,American tennis great ______ won 18 Grand Slam singles championships and established a record for career winning percentage.
9,John McEnroe,"______ is a former tennis champion who is one of the leading title holders of all time, having also created controversy with his temperamental outbursts. He was inducted into the International Tennis Hall of Fame in 1999."
9,Monica Seles,"______ is a former No. 1-ranked women's tennis player with nine Grand Slam titles. She is also an author and speaker, and competed on Dancing with the Stars in 2008."
9,Andy Roddick,American ______ is a former top-ranked professional tennis player who won the 2003 U.S. Open men's singles title.
